iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
159,0,0.000000,24.294000,0.000000,0.000000,2.519000,0.000000,26.813000,0.000000,2.548000,0.000000,0.000000,29.361000
160,0,0.000000,24.025000,1.045000,1.009000,1.063000,0.000000,27.142000,0.000000,0.907000,0.000000,0.000000,28.049000
161,0,0.000000,24.692000,1.140000,0.000000,0.000000,0.000000,25.832000,0.000000,0.000000,0.000000,0.000000,25.832000
162,0,0.000000,26.671000,1.534000,0.000000,0.000000,0.000000,28.205000,0.000000,0.000000,0.000000,0.000000,28.205000
163,0,0.000000,28.805000,0.000000,0.000000,2.037000,0.000000,30.842000,0.000000,1.538000,0.000000,0.000000,32.380000
164,0,0.000000,23.445000,2.141000,0.000000,1.604000,1.012000,28.202000,0.000000,0.513000,0.000000,0.000000,28.715000
165,0,0.000000,22.566000,0.000000,0.000000,4.555000,0.000000,27.121000,0.000000,0.000000,0.000000,0.000000,27.121000
166,0,0.000000,23.433000,0.000000,0.000000,6.193000,0.531000,30.157000,0.000000,0.000000,0.000000,0.000000,30.157000
167,0,0.000000,25.608000,1.014000,0.000000,2.739000,0.536000,29.897000,0.000000,0.000000,0.000000,0.000000,29.897000
168,0,0.000000,23.090000,0.000000,0.000000,5.021000,0.000000,28.111000,0.000000,1.279000,0.000000,0.000000,29.390000
169,0,0.000000,21.865000,0.000000,0.000000,4.630000,0.000000,26.495000,0.000000,1.213000,0.000000,0.000000,27.708000
170,0,0.000000,24.435000,2.032000,0.000000,0.000000,0.000000,26.467000,0.000000,0.000000,0.000000,0.000000,26.467000
171,0,0.000000,26.282000,1.782000,0.000000,2.658000,0.000000,30.722000,0.000000,0.000000,0.000000,0.000000,30.722000
172,0,0.000000,25.358000,2.798000,0.000000,1.547000,0.724000,30.427000,0.000000,0.932000,0.000000,0.000000,31.359000
173,0,0.000000,26.580000,1.529000,0.000000,1.473000,0.745000,30.327000,0.000000,0.929000,0.000000,0.000000,31.256000
174,0,0.000000,25.763000,0.634000,0.000000,2.043000,0.000000,28.440000,0.000000,2.834000,0.000000,0.000000,31.274000
175,0,0.000000,24.016000,0.000000,0.000000,5.406000,0.557000,29.979000,0.000000,0.000000,0.000000,0.000000,30.502000
176,0,0.000000,22.926000,7.514000,0.000000,1.024000,1.608000,33.072000,0.000000,1.018000,0.000000,0.000000,34.090000
177,0,0.000000,27.198000,2.168000,0.000000,1.502000,0.000000,30.868000,0.000000,1.219000,0.000000,0.000000,32.087000
178,0,0.000000,25.001000,2.021000,0.000000,0.000000,0.000000,27.022000,0.000000,0.000000,0.000000,0.000000,27.022000
179,0,0.000000,29.397000,1.031000,0.997000,0.660000,1.072000,33.157000,0.000000,0.995000,0.000000,0.000000,34.152000
180,0,0.000000,24.785000,1.184000,0.000000,2.605000,0.595000,29.169000,0.000000,1.013000,0.000000,0.000000,30.182000
181,0,0.000000,24.742000,2.027000,0.000000,1.560000,1.009000,29.338000,0.000000,0.811000,0.000000,0.000000,30.149000
182,0,0.000000,23.370000,2.131000,0.000000,2.668000,0.546000,28.715000,0.000000,0.710000,0.000000,0.000000,29.425000
183,0,0.000000,24.325000,0.000000,0.000000,2.117000,0.000000,26.442000,0.000000,0.000000,0.000000,0.000000,26.442000
184,0,0.000000,25.928000,0.823000,0.000000,2.159000,0.000000,28.910000,0.000000,0.000000,0.000000,0.000000,28.910000
185,0,0.000000,21.309000,0.000000,0.000000,0.000000,5.241000,26.550000,0.000000,0.635000,0.000000,0.000000,27.185000
186,0,0.000000,23.125000,1.323000,0.000000,1.815000,0.546000,26.809000,0.000000,0.610000,0.000000,0.000000,27.419000
187,0,0.000000,25.529000,1.441000,0.518000,1.408000,0.000000,28.896000,0.000000,0.000000,0.000000,0.000000,28.896000
188,0,0.000000,26.029000,2.287000,0.656000,1.287000,0.000000,30.259000,0.000000,1.547000,0.000000,0.000000,31.806000
189,0,0.000000,23.299000,4.987000,0.000000,2.732000,0.000000,31.018000,0.000000,1.653000,0.000000,0.000000,32.671000
